City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Sao Miguel Do Araguaia,BR,74.64,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
13,Barabai,ID,78.85,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
14,Rikitea,PF,75.56,moderate rain,-23.1203,-134.9692,Pension Maro'i
16,Thai Binh,VN,71.6,overcast clouds,20.45,106.3333,Hội Liên Hiệp Phụ Nữ Tỉnh Thái Bình
19,Mar Del Plata,AR,71.01,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
22,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
24,Saint-Philippe,RE,78.8,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Pisco,PE,73.4,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
32,Seka,TH,78.01,broken clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
33,Galle,LK,75.2,few clouds,6.0367,80.217,Amangalla
41,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
54,Guerrero Negro,MX,76.82,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
58,Cabo San Lucas,MX,78.01,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
60,Ngama,TD,74.97,clear sky,11.7833,17.1667,
61,Wanning,CN,71.04,broken clouds,18.8003,110.3967,Paradise Hotel
62,Hobyo,SO,75.51,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
65,Mabaruma,GY,74.89,broken clouds,8.2,-59.7833,
71,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
75,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
77,Sao Filipe,CV,71.74,clear sky,14.8961,-24.4956,Tortuga B&B
88,Arraial Do Cabo,BR,77.13,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
89,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
92,Cap Malheureux,MU,78.01,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
104,Salalah,OM,75.2,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
108,Americus,US,73.4,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
110,Camocim,BR,78.48,broken clouds,-2.9022,-40.8411,Hotel Ilha do Amor
113,Bengkulu,ID,75.63,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
117,Cururupu,BR,75.25,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
127,Atambua,ID,78.37,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
131,Sur,OM,77.02,clear sky,22.5667,59.5289,Sur Plaza Hotel
133,Guhagar,IN,74.17,clear sky,17.4842,73.1929,Hotel Seawinds
