City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-02-26 16:53:02,-9.8,-139.0333,79.36,76,89,12.64
1,Medicine Hat,CA,2021-02-26 16:53:03,50.0501,-110.6683,33.01,64,75,2.3
2,Hermanus,ZA,2021-02-26 16:53:01,-34.4187,19.2345,72.0,65,4,8.99
3,Hilo,US,2021-02-26 16:48:15,19.7297,-155.09,66.2,82,90,5.75
4,Severo-Kurilsk,RU,2021-02-26 16:53:04,50.6789,156.125,19.33,89,73,3.31
5,Marsa Matruh,EG,2021-02-26 16:53:04,31.3525,27.2453,62.6,72,40,10.36
6,Bredasdorp,ZA,2021-02-26 16:53:05,-34.5322,20.0403,73.4,53,10,14.97
7,Pasni,PK,2021-02-26 16:53:05,25.2631,63.471,73.15,86,6,2.17
8,Ouesso,CG,2021-02-26 16:53:05,1.6136,16.0517,84.25,51,80,1.99
9,Albany,US,2021-02-26 16:48:08,42.6001,-73.9662,37.0,48,56,1.3
10,Ushuaia,AR,2021-02-26 16:53:06,-54.8,-68.3,59.0,55,0,18.41
11,Hobart,AU,2021-02-26 16:50:07,-42.8794,147.3294,57.2,67,90,8.05
12,Cabo San Lucas,MX,2021-02-26 16:53:07,22.8909,-109.9124,68.0,60,40,3.44
13,Bluff,NZ,2021-02-26 16:53:07,-46.6,168.3333,55.99,95,100,1.99
14,Pisco,PE,2021-02-26 16:53:07,-13.7,-76.2167,77.0,69,0,9.22
15,Kapaa,US,2021-02-26 16:53:08,22.0752,-159.319,73.4,64,75,25.32
16,Saint-Philippe,RE,2021-02-26 16:53:08,-21.3585,55.7679,82.4,74,90,4.61
17,Xudat,AZ,2021-02-26 16:53:08,41.631,48.681,40.28,68,76,6.42
18,Moerai,PF,2021-02-26 16:53:09,-22.4333,-151.3333,79.39,79,93,3.53
19,Bonavista,CA,2021-02-26 16:53:09,48.6499,-53.1147,32.0,69,99,12.66
20,Qaanaaq,GL,2021-02-26 16:53:09,77.484,-69.3632,3.67,73,73,7.38
21,Khandbari,NP,2021-02-26 16:53:10,27.3747,87.2039,62.42,46,90,3.18
22,Mar Del Plata,AR,2021-02-26 16:53:10,-38.0023,-57.5575,78.8,61,0,9.22
23,Lebu,CL,2021-02-26 16:53:10,-37.6167,-73.65,61.45,74,14,16.98
24,Khatanga,RU,2021-02-26 16:53:11,71.9667,102.5,-32.98,78,0,5.93
25,Castro,BR,2021-02-26 16:53:11,-24.7911,-50.0119,74.59,69,82,7.61
26,Busselton,AU,2021-02-26 16:53:11,-33.65,115.3333,63.0,82,4,1.01
27,Cape Town,ZA,2021-02-26 16:53:05,-33.9258,18.4232,75.2,57,20,21.85
28,Tiksi,RU,2021-02-26 16:53:12,71.6872,128.8694,-24.83,85,81,1.21
29,Carnarvon,AU,2021-02-26 16:53:12,-24.8667,113.6333,75.2,78,90,17.27
30,Los Llanos De Aridane,ES,2021-02-26 16:53:12,28.6585,-17.9182,66.2,55,20,18.41
31,Bethel,US,2021-02-26 16:53:13,41.3712,-73.414,42.01,41,1,1.21
32,Concordia,AR,2021-02-26 16:53:13,-31.393,-58.0209,86.0,37,0,11.5
33,Kodiak,US,2021-02-26 16:53:13,57.79,-152.4072,37.4,75,1,8.77
34,Djibo,BF,2021-02-26 16:53:14,14.1022,-1.6306,90.84,10,0,7.96
35,Lompoc,US,2021-02-26 16:48:33,34.6391,-120.4579,62.01,75,1,4.61
36,Mataura,NZ,2021-02-26 16:53:08,-46.1927,168.8643,55.99,95,100,1.99
37,Butaritari,KI,2021-02-26 16:53:14,3.0707,172.7902,81.07,79,54,19.04
38,Marawi,PH,2021-02-26 16:53:14,7.9986,124.2928,78.01,90,8,5.01
39,Leningradskiy,RU,2021-02-26 16:53:15,69.3833,178.4167,-26.64,83,1,1.83
40,Avera,US,2021-02-26 16:53:15,33.194,-82.5271,66.2,55,40,5.75
41,Kruisfontein,ZA,2021-02-26 16:53:15,-34.0033,24.7314,66.99,70,41,5.01
42,Rikitea,PF,2021-02-26 16:53:16,-23.1203,-134.9692,78.94,77,100,12.19
43,Thompson,CA,2021-02-26 16:53:16,55.7435,-97.8558,-22.0,63,75,13.8
44,Avarua,CK,2021-02-26 16:48:25,-21.2078,-159.775,80.6,83,75,11.5
45,Sao Joao Da Barra,BR,2021-02-26 16:53:17,-21.6403,-41.0511,86.0,58,40,13.8
46,Olafsvik,IS,2021-02-26 16:53:17,64.8945,-23.7142,42.6,84,100,18.7
47,Vaitape,PF,2021-02-26 16:53:18,-16.5167,-151.75,81.77,76,86,13.56
48,Kasongo-Lunda,CD,2021-02-26 16:53:18,-6.4667,16.8167,75.67,89,90,2.8
49,Morant Bay,JM,2021-02-26 16:53:19,17.8815,-76.4093,84.2,61,40,23.02
50,Half Moon Bay,US,2021-02-26 16:53:19,37.4636,-122.4286,53.01,76,1,12.66
51,Laguna,US,2021-02-26 16:53:19,38.421,-121.4238,48.0,87,1,3.2
52,Upernavik,GL,2021-02-26 16:53:20,72.7868,-56.1549,6.6,87,49,7.05
53,Plettenberg Bay,ZA,2021-02-26 16:49:02,-34.0527,23.3716,66.16,76,4,12.19
54,Provideniya,RU,2021-02-26 16:53:19,64.3833,-173.3,-13.83,65,0,10.09
55,Saldanha,ZA,2021-02-26 16:50:08,-33.0117,17.9442,82.4,32,0,14.97
56,Evensk,RU,2021-02-26 16:53:21,61.95,159.2333,-5.57,78,100,9.8
57,Constitucion,CL,2021-02-26 16:53:21,-35.3333,-72.4167,68.63,56,12,10.67
58,Aklavik,CA,2021-02-26 16:53:22,68.2191,-135.0107,-36.4,67,75,4.61
59,Kysyl-Syr,RU,2021-02-26 16:53:22,63.8986,122.7617,-23.39,85,100,7.47
60,Juelsminde,DK,2021-02-26 16:53:22,55.7088,10.0167,46.4,81,20,18.41
61,Port Blair,IN,2021-02-26 16:53:23,11.6667,92.75,76.33,69,43,5.06
62,Puerto Ayora,EC,2021-02-26 16:53:11,-0.7393,-90.3518,84.2,74,75,8.05
63,Anchorage,US,2021-02-26 16:53:17,61.2181,-149.9003,30.99,74,90,3.44
64,Baculin,PH,2021-02-26 16:53:24,7.4525,126.5842,77.38,76,17,3.83
65,Torbay,CA,2021-02-26 16:53:24,47.6666,-52.7314,32.0,74,75,18.41
66,Arraial Do Cabo,BR,2021-02-26 16:53:24,-22.9661,-42.0278,80.6,78,40,17.27
67,Jamestown,US,2021-02-26 16:51:12,42.097,-79.2353,37.99,90,1,8.63
68,Omboue,GA,2021-02-26 16:53:25,-1.5746,9.2618,81.34,73,2,8.37
69,Zhangye,CN,2021-02-26 16:53:25,38.9342,100.4517,35.62,76,21,23.8
70,Kaitangata,NZ,2021-02-26 16:53:26,-46.2817,169.8464,56.35,92,100,0.63
71,Port Alfred,ZA,2021-02-26 16:53:26,-33.5906,26.891,69.01,71,40,6.11
72,Utkivka,UA,2021-02-26 16:53:26,49.7858,36.0753,42.8,87,0,11.18
73,Barrow,US,2021-02-26 16:50:02,71.2906,-156.7887,-25.6,75,1,5.75
74,Vila Velha,BR,2021-02-26 16:53:27,-20.3297,-40.2925,87.01,66,20,14.97
75,Vaini,TO,2021-02-26 16:53:28,-21.2,-175.2,69.8,94,40,3.44
76,Berlevag,NO,2021-02-26 16:53:28,70.8578,29.0864,35.6,75,75,24.16
77,Kushima,JP,2021-02-26 16:49:28,31.4583,131.2333,51.76,77,100,17.9
78,Ponta Do Sol,PT,2021-02-26 16:53:28,32.6667,-17.1,60.8,44,20,11.5
79,Hobyo,SO,2021-02-26 16:53:29,5.3505,48.5268,78.19,79,2,16.73
80,Georgetown,MY,2021-02-26 16:51:03,5.4112,100.3354,82.4,74,20,4.61
81,Sitka,US,2021-02-26 16:53:30,57.0531,-135.33,37.4,70,1,6.91
82,Katsuura,JP,2021-02-26 16:53:30,35.1333,140.3,44.6,42,0,18.41
83,Kars,TR,2021-02-26 16:53:30,40.602,43.095,26.6,74,0,4.61
84,Nome,US,2021-02-26 16:53:30,64.5011,-165.4064,-0.4,71,90,6.91
85,Sinnamary,GF,2021-02-26 16:53:31,5.3833,-52.95,80.87,76,82,15.39
86,Yellowknife,CA,2021-02-26 16:53:31,62.456,-114.3525,-29.0,67,1,4.61
87,Hofn,IS,2021-02-26 16:53:32,64.2539,-15.2082,44.6,100,90,18.41
88,Batemans Bay,AU,2021-02-26 16:48:52,-35.7167,150.1833,62.01,84,100,1.01
89,Adrar,MR,2021-02-26 16:53:32,20.5022,-10.0711,79.11,15,0,12.01
90,Kununurra,AU,2021-02-26 16:51:38,-15.7667,128.7333,78.8,65,74,6.38
91,Fairbanks,US,2021-02-26 16:53:33,64.8378,-147.7164,10.4,92,90,2.8
92,Lata,PT,2021-02-26 16:53:33,40.1629,-8.3327,69.01,75,89,1.99
93,Nouakchott,MR,2021-02-26 16:53:34,18.0858,-15.9785,86.0,10,0,18.41
94,Chuy,UY,2021-02-26 16:53:34,-33.6971,-53.4616,79.32,52,0,9.13
95,Husavik,IS,2021-02-26 16:53:16,66.0449,-17.3389,42.8,75,75,2.3
96,Lavrentiya,RU,2021-02-26 16:53:34,65.5833,-171.0,-26.18,76,0,7.16
97,Sistranda,NO,2021-02-26 16:53:35,63.7256,8.834,39.2,87,75,13.8
98,Esperance,AU,2021-02-26 16:53:35,-33.8667,121.9,59.0,88,75,9.22
99,New Norfolk,AU,2021-02-26 16:52:48,-42.7826,147.0587,52.0,68,73,1.03
100,Coquimbo,CL,2021-02-26 16:53:36,-29.9533,-71.3436,69.8,64,20,12.66
101,Moultrie,US,2021-02-26 16:53:36,31.1799,-83.7891,71.6,100,90,9.69
102,Punta Arenas,CL,2021-02-26 16:51:42,-53.15,-70.9167,60.8,55,0,19.57
103,Maceio,BR,2021-02-26 16:53:36,-9.6658,-35.7353,87.8,58,40,16.11
104,Cidreira,BR,2021-02-26 16:53:36,-30.1811,-50.2056,77.88,60,0,15.08
105,Matara,LK,2021-02-26 16:51:39,5.9485,80.5353,77.59,87,93,1.97
106,Maraba,BR,2021-02-26 16:53:37,-5.3686,-49.1178,82.4,83,75,2.3
107,Jining,CN,2021-02-26 16:53:37,35.405,116.5814,38.01,76,80,6.06
108,Somerset,US,2021-02-26 16:50:11,40.5668,-74.5496,45.0,36,1,2.1
109,Znamenskoye,RU,2021-02-26 16:53:38,57.1281,73.8282,-20.02,98,93,3.49
110,Luderitz,NA,2021-02-26 16:53:13,-26.6481,15.1594,67.8,75,0,14.0
111,Harpanahalli,IN,2021-02-26 16:53:38,14.8,75.9833,79.27,36,1,11.43
112,Palmer,US,2021-02-26 16:53:39,42.1584,-72.3287,39.0,48,40,4.52
113,Kharp,RU,2021-02-26 16:53:39,66.8014,65.8081,-9.53,89,75,2.1
114,Nouadhibou,MR,2021-02-26 16:53:40,20.931,-17.0347,75.2,50,0,16.11
115,Namibe,AO,2021-02-26 16:53:21,-15.1961,12.1522,77.0,65,20,19.57
116,Tasiilaq,GL,2021-02-26 16:53:40,65.6145,-37.6368,31.89,96,100,16.58
117,Mercedes,AR,2021-02-26 16:53:41,-34.6515,-59.4307,90.0,44,0,3.0
118,Dunedin,NZ,2021-02-26 16:53:41,-45.8742,170.5036,57.99,94,100,5.01
119,Vung Tau,VN,2021-02-26 16:51:09,10.346,107.0843,75.56,86,85,8.95
120,Longyearbyen,SJ,2021-02-26 16:53:42,78.2186,15.6401,23.0,74,75,16.11
121,Korla,CN,2021-02-26 16:50:16,41.7597,86.1469,30.85,90,100,14.79
122,Astana,KZ,2021-02-26 16:53:43,51.1801,71.446,-18.4,76,0,6.71
123,Smithers,CA,2021-02-26 16:50:21,54.7804,-127.1743,30.2,64,40,4.61
124,Kavieng,PG,2021-02-26 16:53:43,-2.5744,150.7967,82.85,71,100,8.01
125,Bunia,CD,2021-02-26 16:53:44,1.5667,30.25,73.71,41,7,2.24
126,Malbork,PL,2021-02-26 16:53:42,54.0359,19.0266,41.0,100,89,11.54
127,Hambantota,LK,2021-02-26 16:53:44,6.1241,81.1185,79.48,79,100,2.68
128,Hasaki,JP,2021-02-26 16:53:44,35.7333,140.8333,41.0,42,75,8.05
129,Portland,US,2021-02-26 16:52:10,45.5234,-122.6762,42.8,75,75,12.66
130,Pangnirtung,CA,2021-02-26 16:53:45,66.1451,-65.7125,-8.23,99,100,4.09
131,Saint George,US,2021-02-26 16:51:01,37.1041,-113.5841,33.8,29,1,4.61
132,Flinders,AU,2021-02-26 16:53:46,-34.5833,150.8552,68.0,82,100,1.01
133,Norman Wells,CA,2021-02-26 16:53:46,65.282,-126.8329,-31.0,68,75,4.61
134,Egvekinot,RU,2021-02-26 16:53:46,66.3167,-179.1667,-24.9,83,0,13.56
135,Nuuk,GL,2021-02-26 16:53:47,64.1835,-51.7216,24.8,74,75,4.61
136,Pevek,RU,2021-02-26 16:53:40,69.7008,170.3133,-26.82,97,49,5.41
137,Linjiang,CN,2021-02-26 16:53:47,41.8069,126.9078,20.64,90,0,1.99
138,Victoria,HK,2021-02-26 16:50:50,22.2855,114.1577,70.0,93,99,9.24
139,Fortuna,US,2021-02-26 16:53:48,40.5982,-124.1573,48.0,93,90,9.22
