City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,2021-02-26 00:02:06,-34.4187,19.2345,63.0,85,43,12.91,scattered clouds
1,Bluff,NZ,2021-02-26 00:02:32,-46.6,168.3333,64.0,69,96,4.0,overcast clouds
2,Puerto Ayora,EC,2021-02-26 00:03:36,-0.7393,-90.3518,80.01,90,76,5.01,light rain
3,Sao Miguel Do Araguaia,BR,2021-02-26 00:05:49,-13.275,-50.1628,74.64,88,52,3.44,broken clouds
4,Dajal,PK,2021-02-26 00:05:50,29.5577,70.3762,64.69,29,0,5.06,clear sky
5,Shingu,JP,2021-02-26 00:05:13,33.7333,135.9833,50.0,50,75,5.75,broken clouds
6,Soto,AR,2021-02-26 00:05:50,-32.8107,-61.4026,86.0,37,0,5.48,clear sky
7,Kaitangata,NZ,2021-02-26 00:02:16,-46.2817,169.8464,64.0,75,88,8.01,overcast clouds
8,Ushuaia,AR,2021-02-26 00:03:44,-54.8,-68.3,44.6,65,75,25.32,broken clouds
9,Jamestown,US,2021-02-26 00:02:00,42.097,-79.2353,26.6,63,1,4.61,clear sky
10,Talnakh,RU,2021-02-26 00:03:34,69.4865,88.3972,-21.01,86,100,0.67,overcast clouds
11,Ponta Do Sol,PT,2021-02-26 00:02:38,32.6667,-17.1,55.0,54,1,3.0,clear sky
12,Los Llanos De Aridane,ES,2021-02-26 00:05:27,28.6585,-17.9182,62.6,59,75,13.8,broken clouds
13,Barabai,ID,2021-02-26 00:05:52,-2.5833,115.3833,78.85,81,85,0.27,overcast clouds
14,Rikitea,PF,2021-02-26 00:01:02,-23.1203,-134.9692,75.56,89,100,23.96,moderate rain
15,Busselton,AU,2021-02-26 00:03:18,-33.65,115.3333,68.0,73,45,3.0,scattered clouds
16,Thai Binh,VN,2021-02-26 00:05:52,20.45,106.3333,71.6,88,90,2.3,overcast clouds
17,Mayo,US,2021-02-26 00:02:49,38.8876,-76.5119,44.6,56,1,0.98,clear sky
18,Saskylakh,RU,2021-02-26 00:03:17,71.9167,114.0833,-32.6,79,0,7.31,clear sky
19,Mar Del Plata,AR,2021-02-25 23:59:12,-38.0023,-57.5575,71.01,83,0,3.44,clear sky
20,Lagoa,PT,2021-02-26 00:05:24,39.05,-27.9833,58.42,85,100,21.65,overcast clouds
21,Griffith,US,2021-02-26 00:05:54,41.5284,-87.4237,37.4,64,1,8.05,clear sky
22,Kapaa,US,2021-02-26 00:01:04,22.0752,-159.319,75.2,73,75,23.02,light rain
23,Butaritari,KI,2021-02-26 00:05:01,3.0707,172.7902,81.61,81,61,16.62,broken clouds
24,Saint-Philippe,RE,2021-02-26 00:03:48,-21.3585,55.7679,78.8,61,90,5.75,overcast clouds
25,Pisco,PE,2021-02-26 00:05:54,-13.7,-76.2167,73.4,73,0,16.11,clear sky
26,Barrow,US,2021-02-26 00:03:55,71.2906,-156.7887,-23.8,76,1,8.05,clear sky
27,Diffa,NE,2021-02-26 00:04:22,13.3154,12.6113,69.1,24,0,10.07,clear sky
28,Albany,US,2021-02-25 23:59:14,42.6001,-73.9662,32.0,51,20,17.27,few clouds
29,Cherskiy,RU,2021-02-26 00:03:19,68.75,161.3,-24.09,85,99,6.8,overcast clouds
30,Fairbanks,US,2021-02-26 00:02:28,64.8378,-147.7164,9.0,85,90,5.75,light snow
31,Whitehorse,CA,2021-02-26 00:04:57,60.7161,-135.0538,21.99,86,90,4.61,light snow
32,Seka,TH,2021-02-26 00:05:56,17.9285,103.9552,78.01,60,62,4.07,broken clouds
33,Galle,LK,2021-02-26 00:05:57,6.0367,80.217,75.2,88,18,4.97,few clouds
34,Castro,BR,2021-02-26 00:03:34,-24.7911,-50.0119,62.69,95,8,7.16,clear sky
35,Karratha,AU,2021-02-26 00:03:17,-20.7377,116.8463,87.93,61,8,15.26,clear sky
36,Bredasdorp,ZA,2021-02-26 00:03:34,-34.5322,20.0403,62.6,88,26,3.44,scattered clouds
37,Srednekolymsk,RU,2021-02-26 00:03:50,67.45,153.6833,-21.03,86,97,3.98,overcast clouds
38,Auki,SB,2021-02-26 00:05:58,-8.7676,160.7034,80.69,84,100,8.46,overcast clouds
39,Bronnoysund,NO,2021-02-26 00:05:58,65.4625,12.1997,42.8,93,75,16.11,broken clouds
40,Hithadhoo,MV,2021-02-26 00:03:10,-0.6,73.0833,82.38,74,14,9.89,few clouds
41,Cayenne,GF,2021-02-26 00:04:59,4.9333,-52.3333,77.0,94,75,3.44,broken clouds
42,Colares,PT,2021-02-26 00:05:59,38.7992,-9.4469,54.0,88,73,12.39,broken clouds
43,Salinas,US,2021-02-26 00:03:48,36.6777,-121.6555,62.6,45,1,14.97,clear sky
44,Nikolskoye,RU,2021-02-26 00:02:43,59.7035,30.7861,41.0,93,90,8.95,light rain
45,Ilava,SK,2021-02-26 00:06:00,48.9977,18.2353,45.0,88,0,2.17,clear sky
46,Hobart,AU,2021-02-25 23:58:55,-42.8794,147.3294,64.99,82,75,16.11,broken clouds
47,Cunduacan,MX,2021-02-26 00:06:01,18.0667,-93.1667,86.0,54,1,11.5,clear sky
